city,status,size_bytes,rows,api_url,downloaded_at,duration_seconds,validation_reason
Bengaluru,skipped,138545,2192,"https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M,T2M_MAX,T2M_MIN,RH2M,PS,WS10M,CLOUD_AMT,PRECTOTCORR,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI&community=RE&longitude=77.5946&latitude=12.9716&start=20190101&end=20241231&format=CSV",2026-06-05T20:20:31.072821+00:00,0.0,ok
Chennai,skipped,140528,2192,"https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M,T2M_MAX,T2M_MIN,RH2M,PS,WS10M,CLOUD_AMT,PRECTOTCORR,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI&community=RE&longitude=80.2707&latitude=13.0827&start=20190101&end=20241231&format=CSV",2026-06-05T20:20:31.073861+00:00,0.0,ok
Hyderabad,skipped,138144,2192,"https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M,T2M_MAX,T2M_MIN,RH2M,PS,WS10M,CLOUD_AMT,PRECTOTCORR,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI&community=RE&longitude=78.4867&latitude=17.385&start=20190101&end=20241231&format=CSV",2026-06-05T20:20:31.075268+00:00,0.0,ok
Kochi,skipped,141598,2192,"https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M,T2M_MAX,T2M_MIN,RH2M,PS,WS10M,CLOUD_AMT,PRECTOTCORR,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI&community=RE&longitude=76.2673&latitude=9.9312&start=20190101&end=20241231&format=CSV",2026-06-05T20:20:31.076854+00:00,0.0,ok
Mangalore,skipped,139349,2192,"https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M,T2M_MAX,T2M_MIN,RH2M,PS,WS10M,CLOUD_AMT,PRECTOTCORR,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI&community=RE&longitude=74.856&latitude=12.9141&start=20190101&end=20241231&format=CSV",2026-06-05T20:20:31.077810+00:00,0.0,ok
Mumbai,skipped,139693,2192,"https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M,T2M_MAX,T2M_MIN,RH2M,PS,WS10M,CLOUD_AMT,PRECTOTCORR,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI&community=RE&longitude=72.8777&latitude=19.076&start=20190101&end=20241231&format=CSV",2026-06-05T20:20:31.079253+00:00,0.0,ok
Pune,skipped,138193,2192,"https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M,T2M_MAX,T2M_MIN,RH2M,PS,WS10M,CLOUD_AMT,PRECTOTCORR,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI&community=RE&longitude=73.8567&latitude=18.5204&start=20190101&end=20241231&format=CSV",2026-06-05T20:20:31.080857+00:00,0.0,ok
Ahmedabad,skipped,138971,2192,"https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M,T2M_MAX,T2M_MIN,RH2M,PS,WS10M,CLOUD_AMT,PRECTOTCORR,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI&community=RE&longitude=72.5714&latitude=23.0225&start=20190101&end=20241231&format=CSV",2026-06-05T20:20:31.081900+00:00,0.0,ok
Delhi,skipped,137462,2192,"https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M,T2M_MAX,T2M_MIN,RH2M,PS,WS10M,CLOUD_AMT,PRECTOTCORR,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI&community=RE&longitude=77.209&latitude=28.6139&start=20190101&end=20241231&format=CSV",2026-06-05T20:20:31.082988+00:00,0.0,ok
Chandigarh,skipped,137771,2192,"https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M,T2M_MAX,T2M_MIN,RH2M,PS,WS10M,CLOUD_AMT,PRECTOTCORR,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI&community=RE&longitude=76.7794&latitude=30.7333&start=20190101&end=20241231&format=CSV",2026-06-05T20:20:31.084083+00:00,0.0,ok
Jaipur,skipped,137665,2192,"https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M,T2M_MAX,T2M_MIN,RH2M,PS,WS10M,CLOUD_AMT,PRECTOTCORR,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI&community=RE&longitude=75.7873&latitude=26.9124&start=20190101&end=20241231&format=CSV",2026-06-05T20:20:31.085513+00:00,0.0,ok
Kolkata,skipped,140426,2192,"https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M,T2M_MAX,T2M_MIN,RH2M,PS,WS10M,CLOUD_AMT,PRECTOTCORR,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI&community=RE&longitude=88.3639&latitude=22.5726&start=20190101&end=20241231&format=CSV",2026-06-05T20:20:31.086586+00:00,0.0,ok
Bhubaneswar,skipped,139733,2192,"https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M,T2M_MAX,T2M_MIN,RH2M,PS,WS10M,CLOUD_AMT,PRECTOTCORR,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI&community=RE&longitude=85.8245&latitude=20.2961&start=20190101&end=20241231&format=CSV",2026-06-05T20:20:31.088229+00:00,0.0,ok
Bhopal,skipped,137685,2192,"https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M,T2M_MAX,T2M_MIN,RH2M,PS,WS10M,CLOUD_AMT,PRECTOTCORR,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI&community=RE&longitude=77.4126&latitude=23.2599&start=20190101&end=20241231&format=CSV",2026-06-05T20:20:31.089744+00:00,0.0,ok
Guwahati,skipped,138672,2192,"https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M,T2M_MAX,T2M_MIN,RH2M,PS,WS10M,CLOUD_AMT,PRECTOTCORR,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI&community=RE&longitude=91.7362&latitude=26.1445&start=20190101&end=20241231&format=CSV",2026-06-05T20:20:31.091020+00:00,0.0,ok
